Order_ID,Date,Brand,Category,Subcategory,Price_USD,Discount_%,Units_Sold,Revenue_USD,Rating,Num_Reviews,Region,Country,Sales_Channel,Customer_Gender,Customer_Age_Group,Customer_Skin_Type
ORD00001,2023-09-08,Lakme,Skincare,Moisturizer,46.82,5,18,842.76,4.2,1,South,India,Online,Unisex,40-49,Oily
ORD00002,2023-08-27,Nykaa,Skincare,Moisturizer,104.34,0,139,14503.26,4.5,40,Central,USA,In-Store,Female,40-49,Sensitive
ORD00003,2024-03-08,MAC,Haircare,Shampoo,100.4,15,30,3012.0,3.7,3,East,USA,Online,Male,13-19,Oily
ORD00004,2023-12-19,Revlon,Fragrance,Perfume,64.4,10,8,515.2,3.7,0,North,UAE,Online,Male,13-19,Sensitive
ORD00005,2024-08-14,Revlon,Haircare,Hair Mask,37.18,5,27,1003.86,2.7,2,North,India,Online,Male,13-19,Dry
ORD00006,2024-04-09,Lakme,Skincare,Serum,63.17,15,31,1958.27,4.1,2,South,UK,In-Store,Female,30-39,Oily
ORD00007,2023-09-08,Nivea,Bath & Body,Body Wash,10.61,0,30,318.3,4.6,6,West,UAE,In-Store,Unisex,50+,Dry
ORD00008,2023-02-02,Nykaa,Haircare,Shampoo,54.5,15,49,2670.5,3.4,13,West,UK,Online,Female,50+,Combination
ORD00009,2024-10-20,Sugar Cosmetics,Makeup,Eyeliner,33.28,25,15,499.2,4.7,2,South,UK,Online,Female,50+,Sensitive
ORD00010,2024-08-20,Sugar Cosmetics,Haircare,Hair Mask,24.63,20,84,2068.92,4.1,8,East,USA,Online,Unisex,40-49,Oily
ORD00011,2024-10-04,MAC,Skincare,Moisturizer,8.29,0,20,165.8,3.1,5,West,Germany,Online,Male,40-49,Sensitive
ORD00012,2024-07-20,Lakme,Fragrance,Body Mist,44.74,0,64,2863.36,2.9,16,North,Germany,In-Store,Unisex,30-39,Oily
ORD00013,2024-04-09,MAC,Haircare,Hair Serum,11.72,0,76,890.72,4.5,18,East,Germany,Online,Unisex,13-19,Combination
ORD00014,2024-01-18,MAC,Bath & Body,Body Wash,11.66,0,24,279.84,3.8,4,Central,Germany,Online,Unisex,30-39,Normal
ORD00015,2023-11-11,Revlon,Skincare,Moisturizer,41.72,5,43,1793.96,3.8,9,North,USA,Online,Female,40-49,Oily
ORD00016,2024-11-06,MAC,Bath & Body,Body Wash,77.59,25,47,3646.73,4.6,10,Central,USA,In-Store,Unisex,50+,Normal
ORD00017,2023-11-16,Nykaa,Makeup,Blush,92.01,20,133,12237.33,4.2,24,East,UAE,In-Store,Female,20-29,Dry
ORD00018,2024-08-25,L'Oreal,Skincare,Face Wash,53.02,5,53,2810.06,3.8,9,Central,USA,Online,Female,13-19,Dry
ORD00019,2023-03-14,Revlon,Skincare,Moisturizer,109.19,5,32,3494.08,3.1,3,East,UAE,Online,Unisex,20-29,Sensitive
